iR,iZ,start,length
30,37,1251385,1000
30,38,1252385,1000
30,39,1253385,1000
31,0,1254385,1000
31,1,1255385,1000
31,2,1256385,1000
31,3,1257385,1000
31,4,1258385,1000
31,5,1259385,1000
31,6,1260385,1000
31,7,1261385,1000
31,8,1262385,1000
31,9,1263385,1000
31,10,1264385,1000
31,11,1265385,1000
31,12,1266385,1000
31,13,1267385,1000
31,14,1268385,1000
31,15,1269385,1000
31,16,1270385,1000
31,17,1271385,1000
31,18,1272385,1000
31,19,1273385,1000
31,20,1274385,1000
31,21,1275385,1000
31,22,1276385,1000
31,23,1277385,1000
31,24,1278385,1000
31,25,1279385,1000
31,26,1280385,1000
31,27,1281385,1000
31,28,1282385,1000
31,29,1283385,1000
31,30,1284385,1000
31,31,1285385,1000
31,32,1286385,1000
31,33,1287385,1000
31,34,1288385,1000
31,35,1289385,1000
31,36,1290385,1000
31,37,1291385,1000
31,38,1292385,1000
31,39,1293385,1000
32,0,1294385,1000
32,1,1295385,1000
32,2,1296385,1000
32,3,1297385,1000
32,4,1298385,1000
32,5,1299385,1000
32,6,1300385,1000
32,7,1301385,1000
32,8,1302385,1000
32,9,1303385,1000
32,10,1304385,1000
32,11,1305385,1000
32,12,1306385,1000
32,13,1307385,1000
32,14,1308385,1000
32,15,1309385,1000
32,16,1310385,1000
32,17,1311385,1000
32,18,1312385,1000
32,19,1313385,1000
32,20,1314385,1000
32,21,1315385,1000
32,22,1316385,1000
32,23,1317385,1000
32,24,1318385,1000
32,25,1319385,1000
32,26,1320385,1000
32,27,1321385,1000
32,28,1322385,1000
32,29,1323385,1000
32,30,1324385,1000
32,31,1325385,1000
32,32,1326385,1000
32,33,1327385,1000
32,34,1328385,1000
32,35,1329385,1000
32,36,1330385,1000
32,37,1331385,1000
32,38,1332385,1000
32,39,1333385,1000
33,0,1334385,1000
33,1,1335385,1000
33,2,1336385,1000
33,3,1337385,1000
33,4,1338385,1000
33,5,1339385,1000
33,6,1340385,1000
33,7,1341385,1000
33,8,1342385,1000
33,9,1343385,1000
33,10,1344385,1000
33,11,1345385,1000
33,12,1346385,1000
33,13,1347385,1000
33,14,1348385,1000
33,15,1349385,1000
33,16,1350385,1000
33,17,1351385,1000
33,18,1352385,1000
33,19,1353385,1000
33,20,1354385,1000
33,21,1355385,1000
33,22,1356385,1000
33,23,1357385,1000
33,24,1358385,1000
33,25,1359385,1000
33,26,1360385,1000
33,27,1361385,1000
33,28,1362385,1000
33,29,1363385,1000
33,30,1364385,1000
33,31,1365385,1000
33,32,1366385,1000
33,33,1367385,1000
33,34,1368385,1000
33,35,1369385,1000
33,36,1370385,1000
